"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2024-04-06","99.2","0.69","6.05","Chapman, Aroldis",663624,547973,,"called_strike",,,,,7,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","S",,,2,0,2024,"0.19","1.51","-0.49","2.04",,,683002,2,8,"Top",,,,,663698,,,-3.7201498904429577,-144.15219020904271,-9.232824768448829,3.5417932257782843,34.930816097262976,-9.087818041635536,"3.41","1.63",,,,"100.8",2380,"7.3",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.18",,,,,,,,60,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",158,"0","-0.027"
"FF","2024-04-06","99.1","0.74","5.93","Chapman, Aroldis",663624,547973,,"ball",,,,,13,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","B",,,1,0,2024,"0.36","1.56","-0.96","1.78",,,683002,2,8,"Top",,,,,663698,,,-5.595493359156057,-143.91830581425194,-9.74571452833014,6.309727943711205,34.29701879262652,-8.410716652758461,"3.56","1.7",,,,"101",2404,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.03",,,,,,,,60,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",156,"0","0.041"
"FF","2024-04-06","99.5","0.52","6.04","Chapman, Aroldis",663624,547973,,"ball",,,,,13,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","B",,,0,0,2024,"0.29","1.26","-0.97","1.77",,,683002,2,8,"Top",,,,,663698,,,-4.870007536021837,-144.63935918899705,-9.422010994460878,5.253868103502234,35.0415526900792,-12.452970882784776,"3.54","1.64",,,,"101.3",2369,"7.4",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.08",,,,,,,,60,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",160,"0","0.007"
"SL","2024-04-06","84.8","0.5","6","Chapman, Aroldis",668939,547973,"field_out","hit_into_play",,,,,8,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","X",7,"fly_ball",3,2,2024,"-0.78","0.13","-0.24","2.02",,,683002,1,8,"Top",61.76,85.41,,,663698,,,-0.1725966565659595,-123.6107554438086,-3.370595413036727,-8.010266361116672,22.416149286527,-30.461482542689165,"3.43","1.68",346,"94.3",33,"87.3",2157,"7.6",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.93",0.166,0.317,"0",1,0,0,3,59,7,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",284,"0.068","-0.37"
"SL","2024-04-06","86.1","0.37","6.01","Chapman, Aroldis",668939,547973,,"foul",,,,,7,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","S",,,3,2,2024,"-1.04","0.33","-0.41","1.66",,,683002,1,8,"Top",,,,,663698,,,0.2558862216610889,-125.30705519784823,-4.8260831674515385,-10.935897877842114,26.925376603351385,-27.862321368013045,"3.43","1.68",256,"78.2",33,"87.9",2269,"7.6",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.92",,,,,,,,59,6,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",293,"0","0"
"SL","2024-04-06","86.2","0.4","5.9","Chapman, Aroldis",668939,547973,,"swinging_strike",,,,,13,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","S",,,3,1,2024,"-0.47","0.5","-0.62","1.09",,,683002,1,8,"Top",,,,,663698,,,-1.5082294431760102,-125.50969713862426,-6.400611564832773,-4.691684720092558,25.09267331098861,-25.833001076136494,"3.43","1.68",,,,"88.6",2154,"7.7",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.79",,,,,,,,59,5,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",275,"0","-0.098"
"FF","2024-04-06","96.4","0.74","5.8","Chapman, Aroldis",668939,547973,,"called_strike",,,,,4,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","S",,,3,0,2024,"0.26","1.44","-0.65","2.16",,,683002,1,8,"Top",,,,,663698,,,-4.380284149542937,-140.23763144050514,-7.544376676265626,4.384223387439233,32.278780758197264,-11.617171111682659,"3.1","1.52",,,,"98.5",2288,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.97",,,,,,,,59,4,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",155,"0","-0.075"
"FF","2024-04-06","95.7","0.7","6.1","Chapman, Aroldis",668939,547973,,"ball",,,,,11,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","B",,,2,0,2024,"0.14","1.51","-0.73","3.59",,,683002,1,8,"Top",,,,,663698,,,-4.161375994549146,-139.24889376791214,-4.494136940975919,2.7546905990127306,31.18084916162221,-11.721022065627977,"3.13","1.5",,,,"97.4",2247,"7.3",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.22",,,,,,,,59,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",161,"0","0.126"
"SL","2024-04-06","84.5","0.45","6.17","Chapman, Aroldis",668939,547973,,"ball",,,,,11,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","B",,,1,0,2024,"-0.67","0.75","-0.12","4.53",,,683002,1,8,"Top",,,,,663698,,,0.011843269365549414,-123.03837761318464,1.0718851386376778,-6.803912532536597,24.592796441423793,-25.007714621463837,"3.11","1.49",,,,"86.4",2133,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.03",,,,,,,,59,2,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",275,"0","0.045"
"FF","2024-04-06","92.7","0.7","5.96","Chapman, Aroldis",668939,547973,,"ball",,,,,12,"Adley Rutschman flies out to left fielder Bryan Reynolds.","R","R","L","PIT","BAL","B",,,0,0,2024,"0.38","1.51","0.86","3.33",,,683002,1,8,"Top",,,,,663698,,,-0.42922038259664586,-134.96012411038132,-4.2901251569183705,4.698502971816371,30.866962813386753,-13.085675411967491,"3.15","1.48",,,,"94.3",2160,"7.3",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.18",,,,,,,,59,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",151,"0","0.042"
