pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-09-26,86.6,-1.61,6.54,"Elder, Bryce",641355,693821,single,hit_into_play,,,,,4.0,Cody Bellinger singles on a line drive to right fielder Ronald Acuna Jr.  Miles Mastrobuoni scores.    Pete Crow-Armstrong to 3rd.,R,L,R,ATL,CHC,X,9.0,line_drive,0,0,2023,-1.1,0.58,-0.51,2.91,,670156.0,691718.0,2,4,Top,194.58,115.46,,,669221,,,4.8457804337843005,-126.02776194053546,-3.64990941436444,-12.674609787235363,25.27504943795675,-25.466740241010108,3.81,1.8,194.0,82.0,16.0,86.3,1846.0,6.0,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.45,0.96,0.909,0.9,1.0,1.0,0.0,4.0,33,1,Changeup,0,4,4,0,5,0,5,0,Standard,Standard,215.0,-0.045,0.875
FF,2023-09-26,88.2,-1.33,6.46,"Elder, Bryce",664023,693821,field_out,hit_into_play,,,,,3.0,Ian Happ flies out to center fielder Michael Harris II.,R,L,R,ATL,CHC,X,8.0,fly_ball,1,0,2023,-0.53,1.11,0.43,3.19,,670156.0,691718.0,1,4,Top,142.33,78.29,,,669221,,,5.374296177678475,-128.4875533961707,-4.260733721955663,-6.864508647697056,23.5713933140232,-19.138944341106583,3.42,1.59,304.0,83.3,32.0,88.7,2095.0,6.3,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.23,0.049,0.061,0.0,1.0,0.0,0.0,3.0,32,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,206.0,0.015,-0.545
SI,2023-09-26,88.0,-1.49,6.41,"Elder, Bryce",664023,693821,,ball,,,,,13.0,Ian Happ flies out to center fielder Michael Harris II.,R,L,R,ATL,CHC,B,,,0,0,2023,-1.28,1.0,-0.26,1.19,,670156.0,691718.0,1,4,Top,,,,,669221,,,5.621405374660143,-127.8437531522212,-8.583064683701968,-15.150837086836264,26.65736130302201,-19.612175256747022,3.56,1.71,,,,87.7,1991.0,6.2,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.27,,,,,,,,32,1,Sinker,0,4,4,0,4,0,4,0,Standard,Strategic,213.0,0.0,0.082
SI,2023-09-26,88.9,-1.37,6.5,"Elder, Bryce",663538,693821,field_out,hit_into_play,,,,,5.0,Nico Hoerner lines out to right fielder Ronald Acuna Jr.,R,R,R,ATL,CHC,X,9.0,line_drive,0,0,2023,-1.45,0.58,0.15,2.02,,670156.0,691718.0,0,4,Top,178.54,92.17,,,669221,,,6.720923662576305,-129.16673642460782,-6.092717499713851,-17.618555104903727,28.006115597627545,-24.51595108576738,3.14,1.51,296.0,92.4,19.0,88.4,1988.0,6.1,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.36,0.466,0.49,0.0,1.0,0.0,0.0,4.0,31,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,216.0,0.018,-0.472
CH,2023-09-26,83.4,-1.37,6.51,"Elder, Bryce",643565,693821,walk,ball,,,,,14.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,B,,,3,2,2023,-0.79,0.0,0.78,1.23,,,670156.0,0,4,Top,,,,,669221,,,6.488811818695353,-121.26296431207234,-5.717852653817511,-9.040525439811889,21.670837951535084,-31.335510850389603,3.47,1.75,,,,83.3,2114.0,6.1,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.41,,,0.7,1.0,0.0,0.0,,30,7,Changeup,0,4,4,0,4,0,4,0,Infield shade,Standard,232.0,-0.018,0.466
SL,2023-09-26,82.5,-1.43,6.53,"Elder, Bryce",643565,693821,,foul,,,,,9.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,S,,,3,2,2023,-0.1,0.13,0.39,2.01,,,670156.0,0,4,Top,,,,,669221,,,4.305442454657958,-120.0412190742326,-3.9967907857529865,-1.76283632665683,23.243296694017527,-30.34114563740665,3.49,1.68,237.0,94.1,16.0,82.2,2511.0,6.1,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.44,,,,,,,,30,6,Slider,0,4,4,0,4,0,4,0,Infield shade,Standard,343.0,0.0,0.0
SI,2023-09-26,88.2,-1.5,6.4,"Elder, Bryce",643565,693821,,ball,,,,,11.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,B,,,2,2,2023,-1.2,0.67,-0.01,3.53,,,670156.0,0,4,Top,,,,,669221,,,6.082810281462753,-128.2682886916985,-2.245900251412592,-14.477551052816043,27.589366079637543,-24.523681847699702,3.4,1.71,,,,87.8,1983.0,6.1,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.36,,,,,,,,30,5,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,219.0,0.0,0.132
FF,2023-09-26,89.7,-1.4,6.48,"Elder, Bryce",643565,693821,,foul,,,,,5.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,S,,,2,1,2023,-0.33,1.3,0.13,2.45,,,670156.0,0,4,Top,,,,,669221,,,4.472907142695703,-130.51302872143864,-6.7271419552330105,-4.735092461832199,26.777769145855565,-16.083189650370386,3.49,1.68,166.0,64.3,55.0,89.6,2102.0,6.2,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.31,,,,,,,,30,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,211.0,0.0,-0.084
CH,2023-09-26,83.9,-1.49,6.4,"Elder, Bryce",643565,693821,,blocked_ball,,,,,14.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,B,,,1,1,2023,-0.88,-0.04,0.69,-0.06,,,670156.0,0,4,Top,,,,,669221,,,6.759585478436399,-121.88409458324682,-8.508687733308228,-10.038581458866645,21.9933979749534,-31.185302411707603,3.47,1.68,,,,84.1,2207.0,6.4,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.14,,,,,,,,30,3,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,231.0,0.0,0.063
CH,2023-09-26,83.3,-1.55,6.4,"Elder, Bryce",643565,693821,,ball,,,,,13.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,B,,,0,1,2023,-0.91,-0.01,-0.42,1.09,,,670156.0,0,4,Top,,,,,669221,,,4.372194106279195,-121.26417916334997,-5.762721304536259,-9.783624027581537,22.339310201761545,-31.388802598717497,3.51,1.73,,,,83.5,2230.0,6.2,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.26,,,,,,,,30,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,235.0,0.0,0.036
SI,2023-09-26,88.3,-1.51,6.48,"Elder, Bryce",643565,693821,,foul,,,,,9.0,Mike Tauchman walks.   Miles Mastrobuoni to 2nd.,R,L,R,ATL,CHC,S,,,0,0,2023,-1.3,0.7,0.59,1.69,,,670156.0,0,4,Top,,,,,669221,,,7.787034465845718,-128.1973851431834,-6.9801543624792695,-15.982742153499451,26.99724059526832,-23.107431253679383,3.49,1.68,22.0,99.8,-3.0,87.8,1989.0,6.2,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.35,,,,,,,,30,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,217.0,0.0,-0.054
SL,2023-09-26,81.9,-1.66,6.6,"Elder, Bryce",670156,693821,single,hit_into_play,,,,,1.0,Miles Mastrobuoni singles on a line drive to center fielder Michael Harris II.,R,L,R,ATL,CHC,X,8.0,line_drive,0,1,2023,0.0,-0.03,-0.38,2.58,,,,0,4,Top,128.69,86.9,,,669221,,,2.880208656733964,-119.2626037975582,-2.4636406545393434,-0.5704259006046949,22.648190177641897,-32.191960481997825,2.92,1.39,280.0,96.8,16.0,81.3,2488.0,5.8,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.7,0.68,0.721,0.9,1.0,1.0,0.0,4.0,29,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,333.0,-0.013,0.426
SL,2023-09-26,80.2,-1.73,6.62,"Elder, Bryce",670156,693821,,called_strike,,,,,9.0,Miles Mastrobuoni singles on a line drive to center fielder Michael Harris II.,R,L,R,ATL,CHC,S,,,0,0,2023,-0.01,0.08,0.3,1.9,,,,0,4,Top,,,,,669221,,,4.489294594120917,-116.77233846224316,-3.9113864230621136,-0.9319128045914122,20.823406371652897,-30.963911419990183,2.99,1.44,,,,80.0,2442.0,6.0,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.52,,,,,,,,29,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,323.0,0.0,-0.038
SL,2023-09-26,83.1,-1.21,6.46,"Elder, Bryce",543228,693821,strikeout,swinging_strike_blocked,,,,,14.0,Yan Gomes strikes out swinging.,R,R,R,ATL,CHC,S,2.0,,0,2,2023,0.03,-0.06,1.39,0.22,673548.0,,621020.0,2,3,Top,,,,,669221,,,5.925519897410045,-120.75742422264132,-7.704453742317204,-0.8924329605242572,23.248015206967445,-31.45217006850414,3.26,1.54,,,,83.3,2519.0,6.4,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.05,,,0.0,1.0,0.0,0.0,,25,3,Slider,0,4,4,0,4,0,4,0,Infield shade,Standard,302.0,0.021,-0.333
SL,2023-09-26,84.0,-1.23,6.46,"Elder, Bryce",543228,693821,,foul,,,,,14.0,Yan Gomes strikes out swinging.,R,R,R,ATL,CHC,S,,,0,1,2023,0.11,0.02,0.49,0.76,673548.0,,621020.0,2,3,Top,,,,,669221,,,3.774001105048367,-122.3219968495996,-6.94788032631727,0.4815089445111213,21.46970487610361,-30.89813684452173,3.26,1.54,218.0,69.3,39.0,84.5,2588.0,6.3,716429,693821,669221,621566,645277,663586,606115,607680,671739,660670,54.2,,,,,,,,25,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,258.0,0.0,-0.091
