pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-10-01,100.5,-2.64,5.18,"Palencia, Daniel",661388,694037,strikeout,swinging_strike,,,,,11,William Contreras strikes out swinging.,R,R,R,MIL,CHC,S,2.0,,3,2,2023,-1.03,1.06,-1.14,3.81,,663368.0,,2,4,Bot,,,,,665804,,,6.700392273312118,-146.27401021947392,-1.004262673384709,-16.412671160490355,32.82168873261617,-16.83408577619997,3.33,1.52,,,,101.9,2284.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.58,,,0.0,1.0,0.0,0.0,,36,6,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,228.0,-0.016,-0.299
FF,2023-10-01,100.6,-2.56,5.21,"Palencia, Daniel",661388,694037,,foul,,,,,11,William Contreras strikes out swinging.,R,R,R,MIL,CHC,S,,,3,1,2023,-1.13,1.16,-1.02,3.0,,663368.0,,2,4,Bot,,,,,665804,,,7.033680707886541,-146.31356606777985,-3.55628150626815,-17.90697673714182,34.20107640731369,-14.87575495207675,3.33,1.52,247.0,83.1,28.0,101.6,2356.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.64,,,,,,,,36,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,228.0,0.0,-0.097
SL,2023-10-01,88.5,-2.79,5.21,"Palencia, Daniel",661388,694037,,ball,,,,,14,William Contreras strikes out swinging.,R,R,R,MIL,CHC,B,,,2,1,2023,0.56,0.07,1.15,1.67,,663368.0,,2,4,Bot,,,,,665804,,,8.489724784369935,-128.62616153516828,-2.7316049533621385,4.45414870911228,26.198243429851,-30.98404893354096,3.58,1.63,,,,89.1,2120.0,6.7,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.8,,,,,,,,36,4,Slider,3,0,3,0,0,3,3,0,Standard,Standard,129.0,0.0,0.077
SL,2023-10-01,88.6,-2.72,5.15,"Palencia, Daniel",661388,694037,,blocked_ball,,,,,14,William Contreras strikes out swinging.,R,R,R,MIL,CHC,B,,,1,1,2023,0.2,0.2,0.39,0.46,,663368.0,,2,4,Bot,,,,,665804,,,7.226025978496289,-128.8095672475674,-5.838452005641171,0.8027408198808251,26.23722108503282,-28.961571367334997,3.55,1.57,,,,89.3,2116.0,6.7,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.78,,,,,,,,36,3,Slider,3,0,3,0,0,3,3,0,Standard,Standard,85.0,0.0,0.023
FF,2023-10-01,98.3,-2.76,5.25,"Palencia, Daniel",661388,694037,,called_strike,,,,,7,William Contreras strikes out swinging.,R,R,R,MIL,CHC,S,,,1,0,2023,-0.68,1.21,-0.37,1.91,,663368.0,,2,4,Bot,,,,,665804,,,8.092766225797236,-142.83154004479644,-6.439280504495378,-11.14792135812722,31.382359232251776,-14.239266173831126,3.72,1.68,,,,99.1,2262.0,6.7,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.8,,,,,,,,36,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,225.0,0.0,-0.051
FF,2023-10-01,99.1,-2.5,5.26,"Palencia, Daniel",661388,694037,,ball,,,,,11,William Contreras strikes out swinging.,R,R,R,MIL,CHC,B,,,0,0,2023,-0.79,1.2,-1.41,5.3,,,663368.0,2,4,Bot,,,,,665804,,,4.902030274203466,-144.27940259811984,2.7395636387912274,-12.22051498653158,31.910233923629622,-16.236688757990688,3.49,1.62,,,,100.5,2266.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.59,,,,,,,,36,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,221.0,0.005,0.025
SL,2023-10-01,91.0,-2.7,5.12,"Palencia, Daniel",592885,694037,single,hit_into_play,,,,,14,Christian Yelich singles on a ground ball to right fielder Alexander Canario.,R,L,R,MIL,CHC,X,9.0,ground_ball,1,2,2023,0.28,0.18,0.39,1.36,,,,2,4,Bot,185.78,103.59,,,665804,,,7.241812833135284,-132.49043855392372,-4.0746197363741,2.111408124243573,23.133218032093986,-29.460729198933382,3.15,1.57,134.0,99.9,8.0,92.8,2124.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.55,0.657,0.613,0.9,1.0,1.0,0.0,4.0,35,4,Slider,3,0,3,0,0,3,3,0,Standard,Strategic,117.0,0.006,0.164
SL,2023-10-01,89.1,-2.57,5.35,"Palencia, Daniel",592885,694037,,foul,,,,,5,Christian Yelich singles on a ground ball to right fielder Alexander Canario.,R,L,R,MIL,CHC,S,,,1,1,2023,0.42,-0.08,-0.17,2.44,,,,2,4,Bot,,,,,665804,,,5.046227365315661,-129.81129635642623,-1.004668238405073,3.7879945045539976,25.65101276121787,-33.076125243324,3.15,1.57,142.0,89.2,73.0,90.0,2202.0,6.7,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.84,,,,,,,,35,3,Slider,3,0,3,0,0,3,3,0,Standard,Standard,99.0,0.0,-0.027
SL,2023-10-01,89.9,-2.65,5.35,"Palencia, Daniel",592885,694037,,ball,,,,,13,Christian Yelich singles on a ground ball to right fielder Alexander Canario.,R,L,R,MIL,CHC,B,,,0,1,2023,0.23,-0.24,-0.9,1.14,,,,2,4,Bot,,,,,665804,,,3.896646118040056,-130.81091280501408,-3.9829651577066,1.7713782269498328,27.98813657026707,-34.24290209795303,3.2,1.79,,,,90.6,2206.0,6.8,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.74,,,,,,,,35,2,Slider,3,0,3,0,0,3,3,0,Standard,Standard,58.0,0.0,0.012
FF,2023-10-01,99.1,-2.54,5.31,"Palencia, Daniel",592885,694037,,called_strike,,,,,11,Christian Yelich singles on a ground ball to right fielder Alexander Canario.,R,L,R,MIL,CHC,S,,,0,0,2023,-0.7,1.28,-0.38,3.32,,,,2,4,Bot,,,,,665804,,,7.637765325030103,-144.26223767202018,-3.0823224003070084,-11.464142089148046,30.73076169622663,-13.728071130444889,3.19,1.63,,,,100.8,2305.0,7.0,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.51,,,,,,,,35,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,223.0,0.0,-0.017
FF,2023-10-01,100.0,-2.4,5.42,"Palencia, Daniel",668930,694037,field_out,hit_into_play,,,,,11,"Brice Turang grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,L,R,MIL,CHC,X,6.0,ground_ball,0,2,2023,-0.51,1.3,-0.92,3.19,,,,1,4,Bot,121.66,152.5,,,665804,,,5.318565264708763,-145.5249100385762,-3.8951675741683953,-8.451799063842323,34.90849682281091,-12.929809500589668,3.37,1.55,17.0,100.3,-10.0,101.0,2365.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.61,0.249,0.238,0.0,1.0,0.0,0.0,2.0,34,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,221.0,-0.007,-0.107
FF,2023-10-01,99.3,-2.42,5.39,"Palencia, Daniel",668930,694037,,foul,,,,,1,"Brice Turang grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,L,R,MIL,CHC,S,,,0,2,2023,-0.56,1.37,-0.58,3.47,,,,1,4,Bot,,,,,665804,,,6.434458765223625,-144.52119323907826,-3.081377073735441,-9.327503442885726,34.46570950162169,-12.430331470684688,3.37,1.55,224.0,76.0,45.0,100.6,2275.0,7.0,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.46,,,,,,,,34,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,212.0,0.0,0.0
FF,2023-10-01,99.9,-2.36,5.35,"Palencia, Daniel",668930,694037,,foul,,,,,4,"Brice Turang grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,L,R,MIL,CHC,S,,,0,2,2023,-0.56,1.28,-0.46,2.46,,,,1,4,Bot,,,,,665804,,,6.634161526542695,-145.3130557262036,-5.688520514852151,-9.39827465082455,32.25339954152528,-12.83783328185704,3.37,1.55,298.0,89.3,20.0,101.6,2261.0,7.1,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.4,,,,,,,,34,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,219.0,0.0,0.0
FF,2023-10-01,99.8,-2.49,5.44,"Palencia, Daniel",668930,694037,,swinging_strike,,,,,11,"Brice Turang grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,L,R,MIL,CHC,S,,,0,1,2023,-0.69,1.41,-0.98,3.04,,,,1,4,Bot,,,,,665804,,,5.84936012624262,-145.19154157483214,-4.586788921122599,-11.111342901591389,33.13487507758185,-11.308749696528576,3.37,1.55,,,,101.0,2329.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.62,,,,,,,,34,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,218.0,0.0,-0.036
FF,2023-10-01,98.6,-2.59,5.4,"Palencia, Daniel",668930,694037,,swinging_strike,,,,,1,"Brice Turang grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,L,R,MIL,CHC,S,,,0,0,2023,-0.86,1.41,-0.46,2.85,,,,1,4,Bot,,,,,665804,,,7.880416552257601,-143.3773092034993,-4.825061081984219,-13.66318693907514,31.42285868267306,-11.745619177554683,3.37,1.55,,,,99.9,2322.0,6.9,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.6,,,,,,,,34,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,220.0,0.0,-0.026
FF,2023-10-01,98.5,-2.56,5.31,"Palencia, Daniel",621438,694037,field_out,hit_into_play,,,,,4,"Tyrone Taylor grounds out, shortstop Christopher Morel to first baseman Jared Young.",R,R,R,MIL,CHC,X,6.0,ground_ball,1,1,2023,-1.2,1.36,-0.4,2.09,,,,0,4,Bot,106.59,148.86,,,665804,,,8.753389690984523,-143.1157837380229,-6.542993530217709,-18.45163122056698,29.439173862191694,-12.141928977137455,3.18,1.52,33.0,85.9,-1.0,99.8,2377.0,6.8,716364,694037,665804,676724,670156,621550,666624,643565,691718,672744,53.66,0.24,0.227,0.0,1.0,0.0,0.0,2.0,33,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,222.0,-0.01,-0.228
