pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-09-30,98.3,-1.59,5.28,"Doval, Camilo",444482,666808,caught_stealing_2b,ball,,,,,12.0,"Chris Taylor caught stealing 2nd base, catcher Patrick Bailey to shortstop Marco Luciano.",R,L,R,SF,LAD,B,2.0,,0,0,2023,-0.75,1.01,1.54,2.77,,,621035.0,2,9,Top,,,,,672275,,,10.35574132557654,-142.8636442014361,-3.7092015485167353,-12.639134212522931,31.629551594842923,-17.678078305808423,3.34,1.68,,,,99.7,2414.0,7.1,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.43,,,0.0,0.0,0.0,0.0,,66,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,232.0,0.078,-0.241
SL,2023-09-30,83.9,-1.39,5.37,"Doval, Camilo",621035,666808,single,hit_into_play,,,,,4.0,Chris Taylor singles on a sharp line drive to left fielder Luis Matos.,R,R,R,SF,LAD,X,7.0,line_drive,1,1,2023,0.75,-0.07,-0.33,2.8,,,,2,9,Top,64.17,118.46,,,672275,,,0.9752246091233344,-122.25540486807634,0.5270360870797777,7.384766161075984,21.764556985092117,-33.16654043652304,3.51,1.63,167.0,105.3,11.0,84.7,2451.0,6.5,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.97,0.92,0.927,0.9,1.0,1.0,0.0,4.0,65,3,Slider,2,1,1,2,1,2,1,2,Standard,Standard,74.0,-0.043,0.138
SI,2023-09-30,96.6,-1.85,5.25,"Doval, Camilo",621035,666808,,foul,,,,,2.0,Chris Taylor singles on a sharp line drive to left fielder Luis Matos.,R,R,R,SF,LAD,S,,,1,0,2023,-0.93,0.19,-0.06,3.1,,,,2,9,Top,,,,,672275,,,6.969120429444896,-140.61620881286936,-0.6527966337361977,-13.813764768700818,28.75392142257624,-29.702726051058548,3.51,1.63,231.0,77.1,41.0,98.1,2210.0,6.9,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.6,,,,,,,,65,2,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,225.0,0.0,-0.022
SL,2023-09-30,86.1,-1.46,5.23,"Doval, Camilo",621035,666808,,ball,,,,,14.0,Chris Taylor singles on a sharp line drive to left fielder Luis Matos.,R,R,R,SF,LAD,B,,,0,0,2023,0.61,0.01,1.59,2.44,,,,2,9,Top,,,,,672275,,,6.05526344315764,-125.32180810704784,-0.4321184628951159,5.294919562139561,24.33050961104713,-32.202798846103306,3.37,1.56,,,,87.1,2378.0,6.8,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.69,,,,,,,,65,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,75.0,0.0,0.016
SL,2023-09-30,86.9,-1.51,5.4,"Doval, Camilo",681546,666808,strikeout,swinging_strike,,,,,14.0,James Outman strikes out swinging.,R,L,R,SF,LAD,S,2.0,,0,2,2023,0.64,-0.08,0.86,1.18,,,,1,9,Top,,,,,672275,,,4.418309934198396,-126.55406145098988,-3.802469199248644,5.959931756622298,26.06483036804985,-32.44232482241275,3.41,1.67,,,,87.6,2555.0,6.7,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.79,,,0.0,1.0,0.0,0.0,,64,4,Slider,2,1,1,2,1,2,1,2,Strategic,Standard,69.0,0.052,-0.107
FC,2023-09-30,99.4,-1.64,5.5,"Doval, Camilo",681546,666808,,foul,,,,,14.0,James Outman strikes out swinging.,R,L,R,SF,LAD,S,,,0,2,2023,-0.76,1.02,1.09,2.41,,,,1,9,Top,,,,,672275,,,9.379023456416732,-144.4515340743734,-5.52495900820733,-12.860900466105289,33.099034470183355,-16.761967705156252,3.41,1.67,308.0,93.6,46.0,100.6,2438.0,7.0,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.51,,,,,,,,64,3,Cutter,2,1,1,2,1,2,1,2,Strategic,Standard,231.0,0.0,0.0
SL,2023-09-30,85.6,-1.51,5.38,"Doval, Camilo",681546,666808,,swinging_strike,,,,,13.0,James Outman strikes out swinging.,R,L,R,SF,LAD,S,,,0,1,2023,0.51,-0.12,-0.27,0.73,,,,1,9,Top,,,,,672275,,,1.920169845429305,-124.65001019624692,-4.439739420297609,4.864744922321615,25.63495027499852,-32.754479427182204,3.41,1.67,,,,85.8,2356.0,6.4,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,54.07,,,,,,,,64,2,Slider,2,1,1,2,1,2,1,2,Standard,Standard,76.0,0.0,-0.036
SL,2023-09-30,86.1,-1.45,5.48,"Doval, Camilo",681546,666808,,called_strike,,,,,1.0,James Outman strikes out swinging.,R,L,R,SF,LAD,S,,,0,0,2023,0.37,0.13,-0.32,2.96,,,,1,9,Top,,,,,672275,,,1.9271744414999497,-125.52815305294136,-0.0386562705175437,3.583087878666092,24.433929742878814,-31.019361733698265,3.2,1.6,,,,86.6,2397.0,6.4,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,54.07,,,,,,,,64,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,84.0,0.0,-0.026
SL,2023-09-30,85.3,-1.55,5.47,"Doval, Camilo",518792,666808,field_out,hit_into_play,,,,,1.0,Jason Heyward flies out to center fielder Tyler Fitzgerald.,R,L,R,SF,LAD,X,8.0,fly_ball,1,1,2023,0.67,0.03,-0.73,3.27,,,,0,9,Top,117.76,106.4,,,672275,,,0.5638837764933535,-124.31488368194206,0.9729485284159144,6.950366066487149,21.926424841317605,-32.18376405910117,3.59,1.72,235.0,82.3,50.0,86.3,2356.0,6.6,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.93,0.037,0.044,0.0,1.0,0.0,0.0,3.0,63,3,Slider,2,1,1,2,1,2,1,2,Infield shade,Standard,83.0,0.071,-0.228
FC,2023-09-30,97.8,-1.87,5.48,"Doval, Camilo",518792,666808,,ball,,,,,11.0,Jason Heyward flies out to center fielder Tyler Fitzgerald.,R,L,R,SF,LAD,B,,,0,1,2023,-0.79,0.91,-1.15,4.37,,,,0,9,Top,,,,,672275,,,3.8010489766410647,-142.42346199923583,0.3916137411784857,-11.654487389938064,31.789650568803435,-20.078198317563785,3.52,1.79,,,,98.9,2204.0,6.8,716381,666808,672275,527038,642731,669477,682617,682641,666149,573262,53.68,,,,,,,,63,2,Cutter,2,1,1,2,1,2,1,2,Infield shade,Standard,230.0,0.0,0.028
