pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-10-01,83.7,-1.41,5.93,"Ober, Bailey",592178,641927,strikeout,swinging_strike,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,-1.32,0.26,0.94,1.71,,,,1,7,Bot,,,,,680777,,,8.12497056990193,-121.8030158551557,-4.024130250069114,-14.561455679680456,18.744917978846136,-29.10753428151464,3.32,1.7,,,,85.7,2139,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.42,,,0.0,1.0,0.0,0.0,,53,6,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,247,-0.035,-0.207
CH,2023-10-01,82.9,-1.47,5.94,"Ober, Bailey",592178,641927,,ball,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,2,2,2023,-1.36,0.21,1.06,1.2,,,,1,7,Bot,,,,,680777,,,8.571397502904903,-120.62766289979383,-4.968624008626827,-14.81327297961898,17.71745022345933,-29.50385338948303,3.31,1.64,,,,84.9,2154,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.47,,,,,,,,53,5,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,252,0.0,0.059
FF,2023-10-01,92.1,-1.35,5.98,"Ober, Bailey",592178,641927,,foul,,,,,11,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,,,2,1,2023,-0.55,1.09,-0.05,3.48,,,,1,7,Bot,,,,,680777,,,4.5571985899315495,-134.26288512590494,-3.0846496537148425,-7.506673491214051,20.93045379047105,-18.382419756821164,3.32,1.7,231.0,80.2,58.0,94.7,2304,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.43,,,,,,,,53,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,211,0.0,-0.048
FF,2023-10-01,92.2,-1.39,5.94,"Ober, Bailey",592178,641927,,swinging_strike,,,,,6,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,,,2,0,2023,-0.67,1.18,0.28,2.61,,,,1,7,Bot,,,,,680777,,,5.791203191777291,-134.28309756138702,-5.441366082556781,-9.140036187208583,21.46910995006049,-16.831742982023815,3.32,1.7,,,,94.7,2325,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.4,,,,,,,,53,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212,0.0,-0.039
CH,2023-10-01,84.1,-1.6,5.99,"Ober, Bailey",592178,641927,,ball,,,,,14,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,1,0,2023,-1.41,0.25,1.29,1.88,,,,1,7,Bot,,,,,680777,,,9.6120234790342,-122.23089553320776,-3.768769352317734,-15.871327059255682,19.431624511964213,-29.18842613840492,3.31,1.71,,,,85.8,2168,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.47,,,,,,,,53,2,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,251,0.0,0.042
FF,2023-10-01,91.1,-1.5,5.9,"Ober, Bailey",592178,641927,,ball,,,,,11,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,B,,,0,0,2023,-0.67,1.13,-1.51,4.27,,,,1,7,Bot,,,,,680777,,,1.4395507766678677,-132.9349143528956,-0.8155041534205847,-8.316246085420634,20.58711401216496,-18.550544755052886,3.31,1.75,,,,93.7,2307,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.46,,,,,,,,53,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213,0.0,0.025
FF,2023-10-01,91.6,-1.37,6.03,"Ober, Bailey",666134,641927,strikeout,swinging_strike,,,,,2,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,2.0,,3,2,2023,-0.41,1.21,-0.07,3.75,,,,0,7,Bot,,,,,680777,,,4.236791551574103,-133.54016960334653,-2.690707053353941,-5.666971856590446,21.90962037501473,-17.20940501847599,3.83,1.82,,,,94.1,2415,7.1,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.4,,,0.0,1.0,0.0,0.0,,52,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,211,-0.049,-0.317
FF,2023-10-01,91.1,-1.34,6.01,"Ober, Bailey",666134,641927,,foul,,,,,1,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,S,,,3,2,2023,-0.61,1.25,-0.42,3.25,,,,0,7,Bot,,,,,680777,,,3.660944000558453,-132.84058683122805,-3.913345398409436,-7.926619615625346,22.317641789171272,-16.60846679409228,3.83,1.82,204.0,76.4,60.0,93.2,2282,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.54,,,,,,,,52,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,215,0.0,0.0
SL,2023-10-01,80.1,-1.36,5.98,"Ober, Bailey",666134,641927,,ball,,,,,14,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,B,,,2,2,2023,0.64,0.16,1.94,1.94,,,,0,7,Bot,,,,,680777,,,6.154437636730796,-116.64020956362144,-2.656670273009205,5.031433742564313,17.73865449608757,-30.491965728973664,3.78,1.71,,,,81.7,2156,6.9,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.62,,,,,,,,52,5,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,70,0.0,0.103
FF,2023-10-01,91.4,-1.45,5.95,"Ober, Bailey",666134,641927,,ball,,,,,11,Nolan Jones strikes out swinging.,R,L,R,COL,MIN,B,,,1,2,2023,-0.43,1.18,-0.05,4.75,,,,0,7,Bot,,,,,680777,,,4.52292940472408,-133.29422139519085,0.198545110381714,-6.002557837590529,23.360273777260005,-18.12322537214696,3.82,1.94,,,,93.5,2261,7.0,716359,641927,680777,543877,666397,456781,571657,650489,664057,656669,53.49,,,,,,,,52,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,213,0.0,0.041
