pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-09-30,90.5,-1.86,5.44,"Kelly, Merrill",665161,518876,field_out,hit_into_play,,,,,5.0,"Jeremy Pena grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,HOU,X,6.0,ground_ball,0,1,2023,-0.15,1.08,0.06,2.34,,,,2,7,Top,110.25,148.62,,,672515,,,5.117948173879857,-131.67841835516154,-4.151390294495679,-2.842642316694109,26.848973922331226,-18.860061762720083,3.62,1.74,74.0,102.2,3.0,90.6,2281.0,6.3,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.25,0.58,0.557,0.0,1.0,0.0,0.0,4.0,50,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,216.0,0.012,-0.089
FF,2023-09-30,90.4,-1.78,5.44,"Kelly, Merrill",665161,518876,,called_strike,,,,,9.0,"Jeremy Pena grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,HOU,S,,,0,0,2023,-0.15,0.74,0.71,2.16,,,,2,7,Top,,,,,672515,,,6.5105848682820975,-131.52739636580796,-3.785646288846234,-3.1678800703161487,28.47652226008076,-23.02356258369553,3.67,1.74,,,,90.2,2320.0,6.2,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.26,,,,,,,,50,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,209.0,0.0,-0.017
SL,2023-09-30,85.0,-1.62,5.49,"Kelly, Merrill",643289,518876,field_out,hit_into_play,,,,,14.0,"Mauricio Dubon grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,HOU,X,6.0,ground_ball,0,1,2023,0.16,0.21,0.69,1.32,,,,1,7,Top,108.43,149.83,,,672515,,,5.088057032574729,-123.6348965715096,-3.8390246339616416,0.5574888598666332,25.157901757799472,-29.483229200106845,3.28,1.54,8.0,73.5,-9.0,84.7,2240.0,6.1,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.36,0.051,0.046,0.0,1.0,0.0,0.0,2.0,49,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,129.0,0.018,-0.143
FC,2023-09-30,89.7,-1.81,5.43,"Kelly, Merrill",643289,518876,,foul,,,,,4.0,"Mauricio Dubon grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,HOU,S,,,0,0,2023,0.04,0.84,-0.37,2.4,,,,1,7,Top,,,,,672515,,,3.485412729178484,-130.6544058772617,-3.3148204418125093,-0.2672955502974525,26.64469470990808,-22.089697141996048,3.28,1.54,138.0,76.6,70.0,90.0,2160.0,6.3,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.17,,,,,,,,49,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,206.0,0.0,-0.026
CH,2023-09-30,88.6,-1.52,5.51,"Kelly, Merrill",676801,518876,strikeout,swinging_strike_blocked,,,,,14.0,Chas McCormick strikes out swinging.,R,R,R,AZ,HOU,S,2.0,,0,2,2023,-1.3,0.05,0.5,0.65,,,,0,7,Top,,,,,672515,,,7.640544571971487,-128.7594518017025,-5.921160590521311,-16.069076543057243,26.45215020027602,-30.56859245930424,3.29,1.53,,,,88.6,2120.0,6.3,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.17,,,0.0,1.0,0.0,0.0,,48,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,245.0,0.024,-0.152
SL,2023-09-30,84.6,-1.7,5.54,"Kelly, Merrill",676801,518876,,foul,,,,,5.0,Chas McCormick strikes out swinging.,R,R,R,AZ,HOU,S,,,0,2,2023,0.33,0.27,0.18,2.67,,,,0,7,Top,,,,,672515,,,3.7114591118768168,-123.22782006946704,-0.9421905579770844,2.7106449763360847,22.518266614560915,-29.43798032222396,3.29,1.53,223.0,85.8,59.0,84.8,2268.0,6.2,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.3,,,,,,,,48,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,121.0,0.0,0.0
FF,2023-09-30,89.9,-1.69,5.52,"Kelly, Merrill",676801,518876,,foul,,,,,12.0,Chas McCormick strikes out swinging.,R,R,R,AZ,HOU,S,,,0,1,2023,-0.67,1.24,0.92,2.57,,,,0,7,Top,,,,,672515,,,7.845164602496471,-130.70476743037833,-3.920291321181652,-9.380488032406454,28.760918050664745,-17.289838375869245,3.29,1.53,213.0,74.8,25.0,89.3,2198.0,6.1,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.4,,,,,,,,48,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,235.0,0.0,-0.049
FC,2023-09-30,87.2,-1.7,5.53,"Kelly, Merrill",676801,518876,,called_strike,,,,,4.0,Chas McCormick strikes out swinging.,R,R,R,AZ,HOU,S,,,0,0,2023,-0.1,0.98,-0.64,2.71,,,,0,7,Top,,,,,672515,,,2.75780558669102,-126.99223658059778,-2.649183201303111,-1.6702247191354718,24.58143936942587,-21.224236489912343,3.37,1.57,,,,87.1,2300.0,6.1,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.43,,,,,,,,48,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,206.0,0.0,-0.038
SL,2023-09-30,86.5,-1.62,5.48,"Kelly, Merrill",547989,518876,grounded_into_double_play,hit_into_play,,,,,8.0,"Jose Abreu grounds into a double play, third baseman Evan Longoria to second baseman Ketel Marte to first baseman Christian Walker.   Kyle Tucker out at 2nd.    Jose Abreu out at 1st.",R,R,R,AZ,HOU,X,5.0,ground_ball,1,2,2023,-0.05,0.23,0.14,1.74,670541.0,,663656.0,1,6,Top,102.98,163.14,,,672515,,,4.3085239432776925,-125.86805231767948,-3.173707333789567,-1.4255819755373578,25.39114454889691,-29.3390671173812,3.36,1.59,43.0,76.7,2.0,86.4,2343.0,6.2,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.31,0.194,0.181,0.0,1.0,0.0,0.0,2.0,43,8,Slider,0,1,1,0,1,0,1,0,Standard,Standard,130.0,0.125,-0.413
FF,2023-09-30,93.3,-1.72,5.36,"Kelly, Merrill",547989,518876,,foul,,,,,11.0,"Jose Abreu grounds into a double play, third baseman Evan Longoria to second baseman Ketel Marte to first baseman Christian Walker.   Kyle Tucker out at 2nd.    Jose Abreu out at 1st.",R,R,R,AZ,HOU,S,,,1,2,2023,-0.79,1.12,-0.15,3.77,670541.0,,663656.0,1,6,Top,,,,,672515,,,5.74580252859697,-135.777778381784,-0.7835189306604899,-11.001207534621674,30.131909574226174,-18.352157520654718,3.36,1.59,139.0,85.1,68.0,92.8,2431.0,6.0,716370,518876,672515,572233,606466,446334,672695,666971,677950,682998,54.46,,,,,,,,43,7,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,226.0,0.0,0.0
