pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-09-27,87.5,-1.11,5.5,"Miller, Bryce",455117,682243,strikeout,swinging_strike,,,,,8.0,Martin Maldonado strikes out swinging.,R,R,R,SEA,HOU,S,2.0,,2,2,2023,-0.02,0.22,-0.02,1.9,,,,2,4,Top,,,,,663728,,,2.66918534101356,-127.54618787849314,-3.090953285990071,-0.6675914437546968,23.39099723413657,-29.36069280243384,3.15,1.44,,,,88.1,2461.0,6.3,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.19,,,0.0,1.0,0.0,0.0,,33,5,Slider,1,4,4,1,4,1,4,1,Standard,Standard,170.0,0.006,-0.09
CH,2023-09-27,86.5,-1.25,5.35,"Miller, Bryce",455117,682243,,ball,,,,,13.0,Martin Maldonado strikes out swinging.,R,R,R,SEA,HOU,B,,,1,2,2023,-1.37,0.72,-0.4,0.69,,,,2,4,Top,,,,,663728,,,4.851157532668927,-125.83064573125336,-6.422151909230847,-15.596212722875563,24.12825628407112,-23.469677202430955,3.15,1.57,,,,87.0,2021.0,6.5,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.01,,,,,,,,33,4,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,232.0,0.0,0.016
FF,2023-09-27,94.9,-0.95,5.49,"Miller, Bryce",455117,682243,,foul,,,,,6.0,Martin Maldonado strikes out swinging.,R,R,R,SEA,HOU,S,,,1,1,2023,-0.7,1.51,0.33,2.26,,,,2,4,Top,,,,,663728,,,4.877174134192897,-138.05584679562344,-6.167475212812744,-9.982766581976485,29.93988383164409,-11.685778619881775,3.15,1.44,261.0,76.7,38.0,94.8,2474.0,6.2,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.29,,,,,,,,33,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,208.0,0.0,-0.027
FF,2023-09-27,94.7,-0.72,5.78,"Miller, Bryce",455117,682243,,called_strike,,,,,8.0,Martin Maldonado strikes out swinging.,R,R,R,SEA,HOU,S,,,1,0,2023,-0.69,1.44,0.06,1.94,,,,2,4,Top,,,,,663728,,,3.5775789545986503,-137.75945414500438,-7.555022099354042,-9.522847321984326,29.651334773956147,-12.412287794743824,3.15,1.45,,,,94.6,2570.0,6.2,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.3,,,,,,,,33,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,201.0,0.0,-0.022
ST,2023-09-27,81.8,-1.14,5.34,"Miller, Bryce",455117,682243,,ball,,,,,9.0,Martin Maldonado strikes out swinging.,R,R,R,SEA,HOU,B,,,0,0,2023,1.24,-0.89,0.57,1.5,,,,2,4,Top,,,,,663728,,,1.4681476713133013,-119.047314599842,-0.3048083776085863,11.40178807020576,24.870321682722707,-40.77356272160943,3.13,1.46,,,,81.6,2183.0,6.3,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.18,,,,,,,,33,1,Sweeper,1,4,4,1,4,1,4,1,Standard,Standard,32.0,0.0,0.016
FF,2023-09-27,96.2,-0.61,5.78,"Miller, Bryce",665161,682243,field_out,hit_into_play,,,,,9.0,"Jeremy Pena grounds out, second baseman Jose Caballero to first baseman Ty France.",R,R,R,SEA,HOU,X,4.0,ground_ball,1,2,2023,-0.35,1.34,0.35,2.03,,,,1,4,Top,135.08,153.02,,,663728,,,3.3372825790125185,-139.93711399574204,-7.426183799996016,-5.344875442659279,30.52421134749761,-13.06804128977327,3.59,1.73,11.0,86.0,-9.0,96.4,2440.0,6.3,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.18,0.137,0.127,0.0,1.0,0.0,0.0,2.0,32,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,203.0,0.009,-0.119
CH,2023-09-27,84.0,-1.15,5.3,"Miller, Bryce",665161,682243,,swinging_strike,,,,,7.0,"Jeremy Pena grounds out, second baseman Jose Caballero to first baseman Ty France.",R,R,R,SEA,HOU,S,,,1,1,2023,-1.35,0.75,-0.79,2.18,,,,1,4,Top,,,,,663728,,,3.511086453430383,-122.37054466575792,-2.362802029257044,-14.230425429945786,22.84780970271638,-24.351021887940544,3.59,1.73,,,,84.5,1924.0,6.4,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.06,,,,,,,,32,3,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,230.0,0.0,-0.043
SL,2023-09-27,86.9,-1.09,5.45,"Miller, Bryce",665161,682243,,foul,,,,,4.0,"Jeremy Pena grounds out, second baseman Jose Caballero to first baseman Ty France.",R,R,R,SEA,HOU,S,,,1,0,2023,-0.02,0.23,-0.29,2.5,,,,1,4,Top,,,,,663728,,,1.9758579055725611,-126.60321271887084,-1.4096703710048444,-0.6442484432398045,24.03019123112032,-29.582796051460644,3.59,1.73,304.0,97.4,23.0,87.1,2324.0,6.2,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.32,,,,,,,,32,2,Slider,1,4,4,1,4,1,4,1,Standard,Standard,121.0,0.0,-0.031
SL,2023-09-27,87.7,-1.0,5.54,"Miller, Bryce",665161,682243,,ball,,,,,14.0,"Jeremy Pena grounds out, second baseman Jose Caballero to first baseman Ty France.",R,R,R,SEA,HOU,B,,,0,0,2023,0.27,0.11,1.03,2.65,,,,1,4,Top,,,,,663728,,,4.336896156751303,-127.73670302198416,-1.1348743093797906,2.1880249495146478,24.59749369905561,-30.98280362632621,3.59,1.79,,,,87.9,2427.0,6.2,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.28,,,,,,,,32,1,Slider,1,4,4,1,4,1,4,1,Standard,Standard,150.0,0.0,0.025
ST,2023-09-27,80.3,-1.34,5.25,"Miller, Bryce",643289,682243,home_run,hit_into_play,,,,,5.0,Mauricio Dubon homers (10) on a fly ball to left center field.   Jose Abreu scores.    Michael Brantley scores.,R,R,R,SEA,HOU,X,,fly_ball,1,0,2023,1.33,-0.55,0.25,2.26,547989.0,,488726.0,1,4,Top,72.43,47.59,,,663728,,,1.0055469085369366,-116.86899426871142,1.1326890941482533,11.968734938048902,22.81805084991611,-37.62877678646639,3.26,1.53,397.0,101.6,23.0,80.3,2095.0,6.3,716407,682243,663728,664034,676609,553993,641487,664238,677594,606192,54.16,0.611,0.946,2.0,1.0,0.0,3.0,6.0,31,2,Sweeper,1,1,1,1,4,1,4,1,Standard,Standard,40.0,-0.233,2.016
