pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-09-27,95.2,2.13,5.34,"Murphy, Chris",668227,669684,strikeout,swinging_strike,,,,,11.0,Randy Arozarena strikes out swinging.,R,R,L,BOS,TB,S,2.0,,1,2,2023,0.52,1.46,-0.8,3.8,,,,2,7,Top,,,,,657136,,,-8.869545048868202,-138.38980122374414,-1.651139402655891,8.829404189589255,33.26640453042514,-13.32539847871847,3.3,1.53,,,,94.8,2469.0,6.3,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.19,,,0.0,1.0,0.0,0.0,,51,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,149.0,0.001,-0.074
CH,2023-09-27,86.5,2.26,5.22,"Murphy, Chris",668227,669684,,ball,,,,,13.0,Randy Arozarena strikes out swinging.,R,R,L,BOS,TB,B,,,0,2,2023,1.02,1.23,-0.03,1.14,,,,2,7,Top,,,,,657136,,,-7.542879669002328,-125.70924490354048,-6.001184383969684,12.345877589845738,26.31402706072249,-18.1292714718433,3.3,1.51,,,,86.5,1663.0,6.4,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.05,,,,,,,,51,3,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,121.0,0.0,0.009
FF,2023-09-27,94.8,2.28,5.33,"Murphy, Chris",668227,669684,,called_strike,,,,,6.0,Randy Arozarena strikes out swinging.,R,R,L,BOS,TB,S,,,0,1,2023,0.73,1.29,0.5,2.8,,,,2,7,Top,,,,,657136,,,-6.262336961895088,-137.9021280249723,-3.8061735579324503,10.696581279302665,31.36669421076005,-15.016125078735364,3.42,1.51,,,,94.4,2453.0,6.1,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.36,,,,,,,,51,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,151.0,0.0,-0.023
SL,2023-09-27,88.9,2.46,5.13,"Murphy, Chris",668227,669684,,swinging_strike,,,,,5.0,Randy Arozarena strikes out swinging.,R,R,L,BOS,TB,S,,,0,0,2023,-0.64,0.67,-0.21,2.44,,,,2,7,Top,,,,,657136,,,-5.187794217836443,-129.49077838246433,-1.950466634269597,-6.15056337683202,27.150189506812104,-24.442354123967167,3.3,1.53,,,,88.8,2410.0,6.2,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.29,,,,,,,,51,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,174.0,0.0,-0.017
CU,2023-09-27,76.6,2.42,5.17,"Murphy, Chris",691406,669684,strikeout,swinging_strike,,,,,8.0,Junior Caminero strikes out swinging.,R,R,L,BOS,TB,S,2.0,,2,2,2023,-1.48,-1.04,-0.23,1.91,,,,1,7,Top,,,,,657136,,,-2.9082304766224603,-111.30020916508435,2.214697809997454,-11.39667305662135,24.719177640440275,-41.4595426720813,3.41,1.56,,,,75.7,2551.0,6.3,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.21,,,0.0,1.0,0.0,0.0,,50,5,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,316.0,0.002,-0.148
CH,2023-09-27,86.3,2.38,5.11,"Murphy, Chris",691406,669684,,ball,,,,,13.0,Junior Caminero strikes out swinging.,R,R,L,BOS,TB,B,,,1,2,2023,1.46,0.38,-0.69,0.08,,,,1,7,Top,,,,,657136,,,-10.26233790121059,-125.13688922742034,-6.511862750833148,17.380796548498537,24.956782183009917,-26.97399642300168,3.57,1.57,,,,86.4,1656.0,6.5,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,53.98,,,,,,,,50,4,Changeup,0,5,5,0,5,0,5,0,Standard,Standard,110.0,0.0,0.029
CU,2023-09-27,76.6,2.28,5.23,"Murphy, Chris",691406,669684,,ball,,,,,14.0,Junior Caminero strikes out swinging.,R,R,L,BOS,TB,B,,,0,2,2023,-1.22,-1.64,0.42,-1.11,,,,1,7,Top,,,,,657136,,,-1.7081373545807494,-111.25526779403418,-3.087966070314935,-9.37122890191702,27.946978911615275,-44.87027781649437,3.57,1.63,,,,75.2,2595.0,6.3,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.23,,,,,,,,50,3,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,325.0,0.0,0.012
FF,2023-09-27,94.8,2.2,5.38,"Murphy, Chris",691406,669684,,foul,,,,,2.0,Junior Caminero strikes out swinging.,R,R,L,BOS,TB,S,,,0,1,2023,0.64,1.4,-0.12,3.34,,,,1,7,Top,,,,,657136,,,-7.504580438683412,-137.7515503149229,-2.744215155676373,9.90528662590371,33.65699114585527,-14.020493253581057,3.41,1.56,226.0,75.3,27.0,94.6,2375.0,6.5,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.03,,,,,,,,50,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,142.0,0.0,-0.036
CU,2023-09-27,75.9,2.36,5.27,"Murphy, Chris",691406,669684,,called_strike,,,,,5.0,Junior Caminero strikes out swinging.,R,R,L,BOS,TB,S,,,0,0,2023,-1.14,-1.06,0.25,2.43,,,,1,7,Top,,,,,657136,,,-2.358864015106392,-110.3313428041402,3.170643984575137,-8.699279205788255,23.336975285758104,-41.64744328358658,3.41,1.6,,,,75.2,2482.0,6.2,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.25,,,,,,,,50,1,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,316.0,0.0,-0.026
SL,2023-09-27,88.3,2.64,5.04,"Murphy, Chris",666018,669684,field_out,hit_into_play,,,,,7.0,Jonathan Aranda flies out to center fielder Ceddanne Rafaela.,R,L,L,BOS,TB,X,8.0,fly_ball,1,0,2023,-0.38,0.77,-0.46,1.92,,,,0,7,Top,120.15,72.59,,,657136,,,-6.724885007338768,-128.35896334882514,-3.0578755648824907,-2.7383779424451857,27.655802888368022,-23.243814850765567,3.21,1.56,314.0,95.8,39.0,87.8,2377.0,6.2,716419,669684,657136,666915,665839,622569,596115,677800,678882,657077,54.35,0.083,0.144,0.0,1.0,0.0,0.0,3.0,49,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,163.0,0.002,-0.275
