pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-10-01,96.6,-1.06,6.03,"Brown, Hunter",664874,686613,field_out,hit_into_play,,,,,8.0,"Seby Zavala grounds out, third baseman Grae Kessinger to first baseman Jose Abreu.",R,R,R,AZ,HOU,X,5.0,ground_ball,0,0,2023,-0.61,1.18,-0.12,1.79,656896.0,,,2,9,Bot,95.49,169.32,,,673237,,,3.928675533272016,-140.41136921568298,-8.454250994900837,-9.0232581463245,32.89354164003232,-14.807014980216856,3.23,1.48,3.0,95.9,-32.0,97.3,2113.0,6.8,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.65,0.074,0.067,0.0,1.0,0.0,0.0,2.0,75,1,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,207.0,0.0,-0.354
FF,2023-10-01,96.8,-1.5,5.93,"Brown, Hunter",607054,686613,field_out,hit_into_play,,,,,4.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,X,4.0,ground_ball,3,2,2023,-0.52,1.36,-0.58,2.18,,656896.0,,1,9,Bot,146.19,154.12,,,673237,,,3.681451482921328,-140.82151390890073,-7.589590835411086,-7.816379423813357,32.956033592468806,-12.52262210459158,3.25,1.51,14.0,96.1,-9.0,97.4,2159.0,6.7,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.76,0.251,0.249,0.0,1.0,0.0,0.0,2.0,74,6,4-Seam Fastball,1,8,1,8,8,1,1,8,Infield shade,Standard,216.0,-0.001,-0.385
KC,2023-10-01,84.3,-1.46,5.99,"Brown, Hunter",607054,686613,,blocked_ball,,,,,14.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,B,,,2,2,2023,0.58,-1.08,1.34,0.65,,656896.0,,1,9,Bot,,,,,673237,,,5.388180646850508,-122.59483951781208,-3.832240999400194,4.661716053634775,26.973253629345443,-42.405103032290754,3.31,1.48,,,,84.5,2528.0,6.7,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.81,,,,,,,,74,5,Knuckle Curve,1,8,1,8,8,1,1,8,Infield shade,Standard,16.0,0.0,0.111
FF,2023-10-01,96.9,-1.29,6.07,"Brown, Hunter",607054,686613,,ball,,,,,13.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,B,,,1,2,2023,-0.61,1.41,-1.12,2.26,,656896.0,,1,9,Bot,,,,,673237,,,1.86340657967835,-140.86973106726109,-7.884445339863018,-8.579301242190803,34.433729328338266,-11.773072700399698,3.35,1.51,,,,97.4,2330.0,6.8,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.7,,,,,,,,74,4,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,209.0,0.0,0.049
FC,2023-10-01,93.8,-1.39,5.93,"Brown, Hunter",607054,686613,,swinging_strike,,,,,14.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,S,,,1,1,2023,0.09,0.64,0.35,1.2,,656896.0,,1,9,Bot,,,,,673237,,,4.3218216494681965,-136.27530758030318,-7.905153275278254,0.1144612622865478,32.189533466637755,-22.58376403408541,3.25,1.51,,,,94.0,2204.0,6.7,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.81,,,,,,,,74,3,Cutter,1,8,1,8,8,1,1,8,Standard,Standard,195.0,0.0,-0.096
FF,2023-10-01,96.8,-1.34,5.93,"Brown, Hunter",607054,686613,,called_strike,,,,,7.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,S,,,1,0,2023,-0.68,1.45,-0.33,1.68,,656896.0,,1,9,Bot,,,,,673237,,,4.298402226840905,-140.6786774139315,-9.137425397915784,-9.979547672129142,34.21832106936768,-11.006981229969302,3.38,1.51,,,,97.4,2301.0,6.9,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.65,,,,,,,,74,2,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,210.0,0.0,-0.059
FF,2023-10-01,96.7,-1.3,5.87,"Brown, Hunter",607054,686613,,ball,,,,,13.0,"Jace Peterson grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.   Emmanuel Rivera to 3rd.",R,L,R,AZ,HOU,B,,,0,0,2023,-0.73,1.41,-0.14,1.32,,,656896.0,1,9,Bot,,,,,673237,,,4.813740034328196,-140.3889821355145,-9.786348537049545,-10.780331378420476,34.54465351966692,-11.468459763676275,3.41,1.61,,,,97.2,2274.0,6.9,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.61,,,,,,,,74,1,4-Seam Fastball,1,8,1,8,8,1,1,8,Infield shade,Standard,209.0,0.0,0.042
FF,2023-10-01,96.5,-0.98,6.0,"Brown, Hunter",656896,686613,walk,ball,,,,,13.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,B,,,3,2,2023,-0.77,1.08,-0.89,1.29,,,,1,9,Bot,,,,,673237,,,2.003498370363084,-140.26250168383038,-9.49187713014211,-10.57664338898746,33.31457319392831,-15.884061511955068,3.25,1.56,,,,97.2,2039.0,6.9,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.64,,,0.7,1.0,0.0,0.0,,73,6,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,209.0,0.001,0.227
FC,2023-10-01,95.4,-1.13,6.01,"Brown, Hunter",656896,686613,,ball,,,,,14.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,B,,,2,2,2023,0.28,0.68,1.05,0.14,,,,1,9,Bot,,,,,673237,,,5.117358608183263,-138.55763698960192,-11.397641165439316,2.510735277632523,31.15432491421484,-20.99294624815143,3.25,1.53,,,,96.0,2101.0,6.8,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.74,,,,,,,,73,5,Cutter,1,8,1,8,8,1,1,8,Standard,Standard,193.0,0.0,0.059
KC,2023-10-01,84.2,-0.96,6.12,"Brown, Hunter",656896,686613,,ball,,,,,14.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,B,,,1,2,2023,0.66,-1.11,1.21,-0.21,,,,1,9,Bot,,,,,673237,,,3.756506509991134,-122.47644207560654,-6.078993025377555,5.758440695265195,26.881350982497757,-42.15408695758135,3.22,1.59,,,,84.5,2642.0,6.8,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.72,,,,,,,,73,4,Knuckle Curve,1,8,1,8,8,1,1,8,Standard,Standard,14.0,0.0,0.029
FF,2023-10-01,97.2,-1.0,6.07,"Brown, Hunter",656896,686613,,ball,,,,,9.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,B,,,0,2,2023,-0.88,1.18,0.46,1.61,,,,1,9,Bot,,,,,673237,,,5.962658856557345,-141.12035395021007,-9.12096192925233,-13.085200676961689,33.76044171025124,-14.523214581428451,3.42,1.65,,,,97.6,2311.0,6.8,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.72,,,,,,,,73,3,4-Seam Fastball,1,8,1,8,8,1,1,8,Standard,Standard,205.0,0.0,0.012
FC,2023-10-01,93.8,-1.21,6.16,"Brown, Hunter",656896,686613,,foul_tip,,,,,2.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,S,,,0,1,2023,0.22,0.49,-0.14,3.36,,,,1,9,Bot,,,,,673237,,,2.2990023153606804,-136.60422022264976,-2.590783858427824,2.243825710835221,31.339014746064777,-25.724186134724235,3.52,1.66,,,,94.4,2130.0,6.7,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.79,,,,,,,,73,2,Cutter,1,8,1,8,8,1,1,8,Standard,Standard,184.0,0.0,-0.036
FC,2023-10-01,95.4,-1.28,6.07,"Brown, Hunter",656896,686613,,called_strike,,,,,2.0,Emmanuel Rivera walks.,R,R,R,AZ,HOU,S,,,0,0,2023,-0.14,0.52,-0.11,3.22,,,,1,9,Bot,,,,,673237,,,3.4145433248145185,-138.8536554778439,-3.058963194653339,-2.5842016708830173,31.44748984059044,-24.980135632910223,3.58,1.69,,,,95.9,2172.0,6.6,716358,686613,673237,547989,643289,666197,665161,676801,676694,663656,53.91,,,,,,,,73,1,Cutter,1,8,1,8,8,1,1,8,Standard,Standard,198.0,0.0,-0.026
