pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-10-01,97.2,-2.08,5.55,"Hollowell, Gavin",656669,668970,strikeout,swinging_strike,,,,,4.0,Jordan Luplow strikes out swinging.,R,R,R,COL,MIN,S,2.0,,0,2,2023,-0.34,0.84,-0.83,2.28,666397.0,543877.0,456781.0,2,11,Top,,,,,553869,,,4.200508860937223,-141.7387176100545,-5.346614454634386,-5.464404439178991,25.009795952535438,-19.91770920207069,3.33,1.61,,,,99.6,2685.0,7.0,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.51,,,0.0,1.0,0.0,0.0,,83,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,231.0,0.168,-0.46
SI,2023-10-01,96.9,-2.37,5.42,"Hollowell, Gavin",656669,668970,,foul,,,,,3.0,Jordan Luplow strikes out swinging.,R,R,R,COL,MIN,S,,,0,2,2023,-0.73,0.29,0.41,2.81,666397.0,543877.0,456781.0,2,11,Top,,,,,553869,,,9.237076590565504,-141.11804307988706,-2.250820623691532,-11.501191148382874,25.216277534094303,-27.98724870412834,3.33,1.61,152.0,79.6,73.0,99.5,2560.0,7.2,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.31,,,,,,,,83,4,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,226.0,0.0,0.0
SI,2023-10-01,97.9,-2.24,5.48,"Hollowell, Gavin",656669,668970,,foul,,,,,1.0,Jordan Luplow strikes out swinging.,R,R,R,COL,MIN,S,,,0,2,2023,-0.93,0.42,-0.58,3.37,666397.0,543877.0,456781.0,2,11,Top,,,,,553869,,,6.709947292181231,-142.60634570089073,-1.3054876627818284,-14.041277035547084,25.77582633394207,-26.253064589952537,3.33,1.61,111.0,82.3,15.0,100.2,2570.0,7.0,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.47,,,,,,,,83,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,227.0,0.0,0.0
SI,2023-10-01,95.6,-2.4,5.43,"Hollowell, Gavin",656669,668970,,swinging_strike,,,,,11.0,Jordan Luplow strikes out swinging.,R,R,R,COL,MIN,S,,,0,1,2023,-1.09,0.42,-1.35,3.34,666397.0,543877.0,456781.0,2,11,Top,,,,,553869,,,5.255900542952304,-139.25724143169646,-0.9157121357130644,-15.309663925746731,26.59335051072693,-26.657361390883324,3.33,1.61,,,,97.3,2508.0,6.8,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.65,,,,,,,,83,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,229.0,0.0,-0.166
SI,2023-10-01,96.5,-2.49,5.18,"Hollowell, Gavin",656669,668970,,swinging_strike,,,,,11.0,Jordan Luplow strikes out swinging.,R,R,R,COL,MIN,S,,,0,0,2023,-1.2,0.31,-0.98,2.66,666397.0,543877.0,456781.0,2,11,Top,,,,,553869,,,6.800778889444359,-140.54308608941005,-1.9537701386039945,-17.31809985224204,25.40961231216856,-27.79725984084132,3.33,1.61,,,,98.3,2452.0,6.8,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.69,,,,,,,,83,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,232.0,0.0,-0.136
SL,2023-10-01,82.9,-2.66,5.27,"Hollowell, Gavin",456781,668970,hit_by_pitch,hit_by_pitch,,,,,11.0,Donovan Solano hit by pitch.,R,R,R,COL,MIN,B,,,0,2,2023,1.06,-0.09,-2.47,2.77,666397.0,543877.0,,2,11,Top,,,,,553869,,,-1.6278987337231077,-120.91700378976468,0.8442630516003129,10.761731606342163,19.671264005613263,-33.413235998524776,3.23,1.52,,,,84.1,2580.0,6.6,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.9,,,0.7,1.0,0.0,0.0,,82,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,74.0,-0.027,0.464
SI,2023-10-01,97.0,-2.44,5.38,"Hollowell, Gavin",456781,668970,,foul,,,,,11.0,Donovan Solano hit by pitch.,R,R,R,COL,MIN,S,,,0,2,2023,-1.36,0.31,-1.02,3.27,666397.0,543877.0,,2,11,Top,,,,,553869,,,6.98823698639235,-141.32902320922238,-0.9293633553875964,-19.833987863421456,25.8788015048116,-27.93056827057086,3.23,1.52,83.0,83.9,4.0,98.9,2544.0,6.8,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.67,,,,,,,,82,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,233.0,0.0,0.0
SI,2023-10-01,96.4,-2.47,5.39,"Hollowell, Gavin",456781,668970,,foul,,,,,1.0,Donovan Solano hit by pitch.,R,R,R,COL,MIN,S,,,0,1,2023,-1.02,0.55,-0.62,3.1,666397.0,543877.0,,2,11,Top,,,,,553869,,,7.313725761754429,-140.28770365656212,-1.8086334985248007,-15.147303148875976,29.90991254876182,-24.689796324058,3.23,1.52,203.0,69.9,50.0,97.5,2480.0,6.8,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.7,,,,,,,,82,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,234.0,0.0,-0.148
SI,2023-10-01,98.1,-2.31,5.41,"Hollowell, Gavin",456781,668970,,swinging_strike,,,,,13.0,Donovan Solano hit by pitch.,R,R,R,COL,MIN,S,,,0,0,2023,-1.57,-0.01,-1.22,1.51,666397.0,543877.0,,2,11,Top,,,,,553869,,,6.667884182711756,-142.8011468251817,-5.157558049725243,-23.063861170228197,30.743777110972967,-31.31645548565932,3.23,1.52,,,,99.4,2537.0,6.9,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.65,,,,,,,,82,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,231.0,0.0,-0.073
SI,2023-10-01,95.9,-2.61,5.22,"Hollowell, Gavin",664057,668970,field_out,hit_into_play,,,,,13.0,"Andrew Stevenson grounds out, third baseman Ryan McMahon to first baseman Elehuris Montero.   Christian Vazquez to 2nd.",R,L,R,COL,MIN,X,5.0,ground_ball,0,2,2023,-1.38,0.06,-1.14,1.81,666397.0,,543877.0,1,11,Top,116.47,178.49,,,553869,,,7.081540382507058,-139.66080280281838,-3.673846741912093,-19.67338182031543,27.273032471287237,-30.77484883537624,3.08,1.41,7.0,89.0,-13.0,97.3,2460.0,6.7,716359,668970,553869,660707,663898,641857,678662,666134,686668,453568,53.78,0.146,0.142,0.0,1.0,0.0,0.0,2.0,81,3,Sinker,2,2,2,2,2,2,2,2,Strategic,Standard,238.0,0.176,-0.409
