pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-09-30,75.9,-1.21,5.36,"Maton, Phil",666971,664208,strikeout,swinging_strike_blocked,,,,,14.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,2.0,,3,2,2023,1.51,-1.17,0.22,0.72,,677950.0,,2,6,Bot,,,,,455117,,,0.2647339533505314,-110.37132891957334,-0.3058186088703962,12.072437954003243,24.873456407163385,-41.75964745360388,3.56,1.68,,,,76.4,3389.0,7.3,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.17,,,0.0,1.0,0.0,0.0,,47,6,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,42.0,-0.061,-0.299
FF,2023-09-30,90.0,-1.14,5.26,"Maton, Phil",666971,664208,,ball,,,,,14.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,2,2,2023,0.54,0.49,1.65,0.98,,,677950.0,2,6,Bot,,,,,455117,,,5.895507457227758,-130.81702775934608,-5.774102520681399,4.849541665018154,28.8366585434233,-25.47109677802055,3.67,1.68,,,,91.6,2731.0,7.4,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.06,,,,,,,,47,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,170.0,0.019,0.055
CU,2023-09-30,75.0,-1.13,5.35,"Maton, Phil",666971,664208,,blocked_ball,,,,,14.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,1,2,2023,1.45,-1.02,2.02,0.48,,,677950.0,2,6,Bot,,,,,455117,,,4.007688460637914,-109.01259252074138,-0.9104927536409712,10.51229634823834,23.041052813898236,-40.250599296974734,3.7,1.74,,,,75.7,3289.0,7.3,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.2,,,,,,,,47,4,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,44.0,0.0,0.028
CU,2023-09-30,74.1,-1.12,5.39,"Maton, Phil",666971,664208,,ball,,,,,14.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,0,2,2023,1.45,-0.99,1.48,1.8,,,677950.0,2,6,Bot,,,,,455117,,,2.796045854767913,-107.68897233247634,1.880885272433263,10.536354978788257,22.71973992004385,-40.43813702570681,3.67,1.68,,,,74.7,3154.0,7.3,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.22,,,,,,,,47,3,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,43.0,0.0,0.017
CU,2023-09-30,74.2,-1.16,5.3,"Maton, Phil",666971,664208,,swinging_strike,,,,,14.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,0,1,2023,1.58,-0.83,1.11,1.19,,,677950.0,2,6,Bot,,,,,455117,,,1.882434444163836,-107.94178801208568,0.5212943031625517,11.712884124828376,23.4310636492808,-38.95730441853054,3.56,1.68,,,,74.9,3153.0,7.4,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.14,,,,,,,,47,2,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,47.0,0.0,-0.046
ST,2023-09-30,81.8,-1.37,5.32,"Maton, Phil",666971,664208,,called_strike,,,,,6.0,"Lourdes Gurriel Jr.  strikes out swinging, catcher Martin Maldonado to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,0,0,2023,1.17,0.26,0.38,2.55,,,677950.0,2,6,Bot,,,,,455117,,,1.7357917292216154,-119.1801762273714,-0.2060277665726798,10.80365247307394,22.81975712012451,-29.84444036130645,3.74,1.68,,,,83.3,2742.0,7.2,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.29,,,,,,,,47,1,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,78.0,0.0,-0.038
ST,2023-09-30,82.4,-1.36,5.25,"Maton, Phil",677950,664208,hit_by_pitch,hit_by_pitch,,,,,14.0,Alek Thomas hit by pitch.,R,L,R,AZ,HOU,B,,,2,2,2023,1.38,-0.23,1.99,0.69,,,,2,6,Bot,,,,,455117,,,4.991988622234347,-119.82080386770872,-3.340448367276672,12.083274576282436,25.98462687445361,-33.904129926152336,3.22,1.44,,,,83.2,2838.0,7.1,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.39,,,0.7,1.0,0.0,0.0,,46,6,Sweeper,0,1,0,1,1,0,0,1,Infield shade,Standard,72.0,0.023,0.15
CU,2023-09-30,75.0,-1.09,5.34,"Maton, Phil",677950,664208,,foul,,,,,9.0,Alek Thomas hit by pitch.,R,L,R,AZ,HOU,S,,,2,2,2023,1.51,-1.03,0.32,1.34,,,,2,6,Bot,,,,,455117,,,0.2457833842324518,-108.9677647260056,0.9923901693973014,11.68728985632739,24.70520179088235,-40.66871035610912,3.22,1.44,5.0,78.5,-15.0,75.1,3220.0,7.1,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.38,,,,,,,,46,5,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,45.0,0.0,0.0
FF,2023-09-30,90.8,-1.24,5.34,"Maton, Phil",677950,664208,,ball,,,,,11.0,Alek Thomas hit by pitch.,R,L,R,AZ,HOU,B,,,1,2,2023,0.39,0.94,-0.86,3.94,,,,2,6,Bot,,,,,455117,,,0.1219225167425933,-132.29818221123557,0.4057311830209004,4.570871877006263,26.952581464108324,-21.42973769372482,3.3,1.44,,,,92.9,2617.0,7.4,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.15,,,,,,,,46,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,186.0,0.0,0.016
CU,2023-09-30,73.4,-1.33,5.34,"Maton, Phil",677950,664208,,ball,,,,,11.0,Alek Thomas hit by pitch.,R,L,R,AZ,HOU,B,,,0,2,2023,1.38,-1.08,-2.24,3.18,,,,2,6,Bot,,,,,455117,,,-4.294481051542236,-106.591606593332,5.080225034625077,11.2194466038742,21.29979048402148,-41.566439802357394,3.27,1.44,,,,74.0,3125.0,7.2,716370,664208,455117,547989,514888,608324,665161,676801,643289,663656,53.27,,,,,,,,46,3,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,50.0,0.0,0.009
