pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-09-27,87.9,1.67,6.27,"Miley, Wade",691023,489119,grounded_into_double_play,hit_into_play,,,,,1.0,"Jordan Walker grounds into a double play, pitcher Wade Miley to second baseman Andruw Monasterio to first baseman Rowdy Tellez.   Tommy Edman out at 2nd.    Jordan Walker out at 1st.",R,R,L,MIL,STL,X,1.0,ground_ball,1,2,2023,-0.25,0.44,-0.79,3.91,,680700.0,669242.0,1,5,Top,123.61,181.27,,,605170,,,-5.431754867499616,-127.92926773744996,-0.527692675459374,-1.6598328771156012,25.17309362219736,-27.46517883665906,3.81,1.8,10.0,39.7,-18.0,87.8,2296.0,6.1,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.42,0.223,0.215,0.0,1.0,0.0,0.0,1.0,36,4,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,191.0,0.09,-0.498
FC,2023-09-27,87.3,1.87,6.21,"Miley, Wade",691023,489119,,foul,,,,,13.0,"Jordan Walker grounds into a double play, pitcher Wade Miley to second baseman Andruw Monasterio to first baseman Rowdy Tellez.   Tommy Edman out at 2nd.    Jordan Walker out at 1st.",R,R,L,MIL,STL,S,,,1,1,2023,-0.24,0.54,-0.91,2.18,,680700.0,669242.0,1,5,Top,,,,,605170,,,-6.191214372647189,-126.96833727998526,-4.648473672167274,-1.3183443412741844,26.108385030279944,-25.521991754753312,3.81,1.8,44.0,85.2,0.0,87.2,2143.0,6.2,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.27,,,,,,,,36,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,174.0,0.0,-0.115
FC,2023-09-27,87.2,1.73,6.25,"Miley, Wade",691023,489119,,called_strike,,,,,7.0,"Jordan Walker grounds into a double play, pitcher Wade Miley to second baseman Andruw Monasterio to first baseman Rowdy Tellez.   Tommy Edman out at 2nd.    Jordan Walker out at 1st.",R,R,L,MIL,STL,S,,,1,0,2023,-0.39,0.67,-0.73,2.4,,680700.0,669242.0,1,5,Top,,,,,605170,,,-5.082565758745246,-126.98166875894591,-4.487057514016821,-3.2429046564466217,25.464164132190348,-24.222298129599373,3.8,1.88,,,,87.1,2065.0,6.1,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.37,,,,,,,,36,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,173.0,0.0,-0.1
CH,2023-09-27,84.1,2.13,5.99,"Miley, Wade",691023,489119,,ball,,,,,14.0,"Jordan Walker grounds into a double play, pitcher Wade Miley to second baseman Andruw Monasterio to first baseman Rowdy Tellez.   Tommy Edman out at 2nd.    Jordan Walker out at 1st.",R,R,L,MIL,STL,B,,,0,0,2023,1.31,0.38,0.46,0.97,,680700.0,669242.0,1,5,Top,,,,,605170,,,-6.421534730642586,-122.18063466187934,-5.965590704599841,14.340702186295845,24.141460896028452,-27.350362890847205,3.8,1.88,,,,83.8,1749.0,6.2,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.34,,,,,,,,36,1,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,131.0,0.0,0.082
FC,2023-09-27,87.9,1.83,6.27,"Miley, Wade",669242,489119,single,hit_into_play,,,,,6.0,Tommy Edman singles on a ground ball to center fielder Blake Perkins.   Richie Palacios to 2nd.,R,R,L,MIL,STL,X,8.0,ground_ball,2,1,2023,-0.21,0.54,0.3,2.28,,,680700.0,1,5,Top,120.3,90.88,,,605170,,,-3.295261400470051,-128.0037602028365,-4.726294134539992,-1.6626793134008724,23.78370294176917,-25.523746467961967,3.21,1.46,13.0,102.6,-9.0,88.2,2066.0,6.2,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.26,0.337,0.325,0.9,1.0,1.0,0.0,2.0,35,4,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,176.0,-0.036,0.455
FC,2023-09-27,87.0,1.63,6.21,"Miley, Wade",669242,489119,,blocked_ball,,,,,13.0,Tommy Edman singles on a ground ball to center fielder Blake Perkins.   Richie Palacios to 2nd.,R,R,L,MIL,STL,B,,,1,1,2023,-0.26,0.76,-1.15,0.36,,,680700.0,1,5,Top,,,,,605170,,,-6.123342711666142,-126.44044805858373,-9.43358856297208,-1.643018139384783,23.80966068659652,-22.31873344002824,3.2,1.45,,,,87.1,2198.0,6.3,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.23,,,,,,,,35,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,169.0,0.0,0.054
FF,2023-09-27,91.3,1.85,6.24,"Miley, Wade",669242,489119,,ball,,,,,11.0,Tommy Edman singles on a ground ball to center fielder Blake Perkins.   Richie Palacios to 2nd.,R,R,L,MIL,STL,B,,,0,1,2023,0.17,1.46,-0.83,3.71,,,680700.0,1,5,Top,,,,,605170,,,-7.087291611008044,-132.7626517785374,-3.615829446755363,3.4827649735001023,28.38744474979229,-14.308863823679248,3.2,1.4,,,,91.2,2150.0,6.3,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.24,,,,,,,,35,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,159.0,0.0,0.03
CH,2023-09-27,83.8,2.26,6.04,"Miley, Wade",669242,489119,,called_strike,,,,,7.0,Tommy Edman singles on a ground ball to center fielder Blake Perkins.   Richie Palacios to 2nd.,R,R,L,MIL,STL,S,,,0,0,2023,1.22,0.48,-0.38,1.55,,,680700.0,1,5,Top,,,,,605170,,,-8.449407888779614,-121.77558280104584,-4.922550588077382,13.745707378415243,22.40933803426873,-26.637563716004365,3.2,1.48,,,,83.6,1666.0,6.1,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.4,,,,,,,,35,1,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,131.0,0.0,-0.05
CH,2023-09-27,83.3,1.95,6.07,"Miley, Wade",691026,489119,field_out,hit_into_play,,,,,6.0,Masyn Winn flies out to center fielder Blake Perkins.,R,R,L,MIL,STL,X,8.0,fly_ball,2,0,2023,1.2,0.64,0.44,2.51,,,680700.0,0,5,Top,139.08,42.05,,,605170,,,-5.779395139197255,-121.30352864800724,-3.011435274957673,12.919942863876551,22.15149800150258,-25.48991217736594,3.42,1.57,393.0,100.9,31.0,83.2,1590.0,6.1,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.45,0.574,1.095,0.0,1.0,0.0,0.0,6.0,34,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,130.0,0.034,-0.488
CH,2023-09-27,82.7,1.95,6.02,"Miley, Wade",691026,489119,,blocked_ball,,,,,13.0,Masyn Winn flies out to center fielder Blake Perkins.,R,R,L,MIL,STL,B,,,1,0,2023,1.38,0.55,-0.92,0.56,,,680700.0,0,5,Top,,,,,605170,,,-9.198832835323444,-119.99296407091902,-7.012170774746728,15.021465622907892,21.57004300687184,-25.73157303315396,3.41,1.51,,,,82.7,1632.0,6.3,716408,489119,605170,642133,655316,605119,668930,621438,663368,686217,54.23,,,,,,,,34,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,130.0,0.0,0.082
