pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-09-12,83.6,-3.04,5.88,"Jansen, Kenley",664314,445276,,ball,,,,,13.0,Estevan Florial strikes out swinging.,R,L,R,BOS,NYY,B,,,0,0,2023,0.47,0.07,-1.84,1.69,665828.0,,677592.0,0,9,Top,,,,,657136,,,1.860295609956676,-121.7853650439841,-3.4280443181908096,4.352962772682504,22.80976608202928,-31.061361861855403,3.69,1.68,,,,84.7,2437.0,6.8,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.65,,,,,,,,74,1,Slider,1,2,2,1,2,1,2,1,Strategic,Standard,84.0,-0.007,0.016
FC,2023-09-12,93.5,-2.66,5.9,"Jansen, Kenley",677592,445276,single,hit_into_play,,,,,9.0,Everson Pereira singles on a line drive to right fielder Adam Duvall.   Oswaldo Cabrera to 3rd.,R,R,R,BOS,NYY,X,9.0,line_drive,3,1,2023,0.14,1.4,0.4,1.41,,,665828.0,0,9,Top,187.54,106.17,,,657136,,,7.622125173685676,-135.72923721888696,-8.997628192692291,0.1962463921586788,28.34753949738761,-13.081830944691712,3.2,1.5,209.0,74.8,23.0,94.5,2487.0,6.9,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.58,0.929,0.863,0.9,1.0,1.0,0.0,4.0,73,5,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,194.0,-0.061,0.482
FC,2023-09-12,93.0,-2.83,5.96,"Jansen, Kenley",677592,445276,,ball,,,,,11.0,Everson Pereira singles on a line drive to right fielder Adam Duvall.   Oswaldo Cabrera to 3rd.,R,R,R,BOS,NYY,B,,,2,1,2023,0.12,1.31,-1.15,3.56,,,665828.0,0,9,Top,,,,,657136,,,4.094224754727879,-135.5343264608037,-3.3387549554095126,0.7067031209469,27.74763932367151,-15.418814632311392,3.3,1.48,,,,94.3,2537.0,6.8,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.65,,,,,,,,73,4,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,192.0,0.0,0.151
SI,2023-09-12,94.5,-1.98,6.2,"Jansen, Kenley",677592,445276,,ball,,,,,11.0,Everson Pereira singles on a line drive to right fielder Adam Duvall.   Oswaldo Cabrera to 3rd.,R,R,R,BOS,NYY,B,,,1,1,2023,-0.71,1.4,-1.26,3.7,,,665828.0,0,9,Top,,,,,657136,,,3.515736770948415,-137.66607319546392,-4.0072455011902335,-9.864645737383126,29.77588085542748,-13.70933898095141,3.27,1.45,,,,96.0,2144.0,7.0,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.47,,,,,,,,73,3,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,201.0,0.0,0.063
FC,2023-09-12,93.8,-2.62,5.87,"Jansen, Kenley",677592,445276,,ball,,,,,14.0,Everson Pereira singles on a line drive to right fielder Adam Duvall.   Oswaldo Cabrera to 3rd.,R,R,R,BOS,NYY,B,,,0,1,2023,-0.07,1.5,1.5,1.97,,,665828.0,0,9,Top,,,,,657136,,,10.958429766983569,-136.0379469350091,-7.7564454919646275,-3.2381293013126227,29.199906135770757,-11.984063573005749,3.3,1.51,,,,95.1,2656.0,7.2,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.34,,,,,,,,73,2,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,192.0,0.0,0.036
FC,2023-09-12,93.5,-2.78,5.93,"Jansen, Kenley",677592,445276,,foul,,,,,6.0,Everson Pereira singles on a line drive to right fielder Adam Duvall.   Oswaldo Cabrera to 3rd.,R,R,R,BOS,NYY,S,,,0,0,2023,-0.06,1.61,0.31,2.23,,,665828.0,0,9,Top,,,,,657136,,,8.175615708946463,-135.84732564579332,-7.422378116088803,-2.466750085365063,29.24132677401852,-10.705528720451218,3.2,1.5,150.0,83.7,72.0,94.4,2590.0,6.8,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.66,,,,,,,,73,1,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,199.0,0.0,-0.054
FC,2023-09-12,96.1,-2.95,5.8,"Jansen, Kenley",665828,445276,walk,blocked_ball,,,,,14.0,Oswaldo Cabrera walks.,R,L,R,BOS,NYY,B,,,3,2,2023,-0.27,1.47,1.81,0.77,,,,0,9,Top,,,,,657136,,,13.260351529213636,-138.9682224883079,-11.068903905400653,-6.4109629791888825,30.05716367850234,-10.640818187028232,3.3,1.62,,,,96.3,2671.0,6.7,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.8,,,0.7,1.0,0.0,0.0,,72,7,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,202.0,-0.023,0.312
FC,2023-09-12,94.3,-2.76,5.97,"Jansen, Kenley",665828,445276,,foul,,,,,6.0,Oswaldo Cabrera walks.,R,L,R,BOS,NYY,S,,,3,2,2023,0.12,1.41,0.33,2.57,,,,0,9,Top,,,,,657136,,,7.849429268685178,-137.0694968960392,-6.361974582196635,-0.1233132769308946,27.83471110727121,-13.129329530232562,3.28,1.58,400.0,105.8,23.0,95.4,2572.0,6.8,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.7,,,,,,,,72,6,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,194.0,0.0,0.0
SI,2023-09-12,94.2,-2.33,6.24,"Jansen, Kenley",665828,445276,,ball,,,,,11.0,Oswaldo Cabrera walks.,R,L,R,BOS,NYY,B,,,2,2,2023,-0.89,1.43,-1.09,4.78,,,,0,9,Top,,,,,657136,,,5.265329376656822,-137.18743625991044,-1.296851957634865,-12.446517251659683,29.125241325162005,-14.040756134565145,3.36,1.62,,,,95.3,2143.0,6.8,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,53.72,,,,,,,,72,5,Sinker,1,2,2,1,2,1,2,1,Infield shade,Standard,210.0,0.0,0.103
FC,2023-09-12,95.4,-3.07,5.96,"Jansen, Kenley",665828,445276,,ball,,,,,11.0,Oswaldo Cabrera walks.,R,L,R,BOS,NYY,B,,,1,2,2023,-0.36,1.58,-1.89,3.52,,,,0,9,Top,,,,,657136,,,3.925507282141933,-138.9126355792416,-4.378018043655375,-5.48952341534615,30.77220002787128,-10.87017216711324,3.36,1.54,,,,95.7,2576.0,6.4,716612,445276,657136,671213,622569,646240,596115,677800,678882,594807,54.09,,,,,,,,72,4,Cutter,1,2,2,1,2,1,2,1,Infield shade,Standard,206.0,0.0,0.041
